Name,Artist,Album,Track Number
Safe and Sound,Capital Cities,In A Tidal Wave Of Mystery,1
Don't Fuck With My Money,Penguin Prison,Penguin Prison,1
Primetime (feat. Miguel),Janelle Monáe,The Electric Lady,6
The Way,Ariana Grande,Yours Truly,8
Right There,Ariana Grande,Yours Truly,3
Keep You,Class Actress,Rapprocher,1
Saturday Night Ate Our Lives,Whitey,Saturday Night Ate Our Lives,1
Flood,Hermitude,HyperParadise,12
Golden,Hermitude,HyperParadise,10
Gold,Bondax,Gold,1
Don't Save Me,Haim,Don't Save Me,1
Lungs,CHVRCHES,The Bones Of What You Believe (Special Edition),10
Global Concepts,Robert DeLong,Just Movement,2
Perfect,Robert DeLong,Just Movement,10
Lost In My Bedroom,Sky Ferreira,Ghost EP,2
Marijuana,Chrome Sparks,Sparks EP,2
